Company,Price,Timestamp,URL,Scraped At
Bank Central Asia Tbk PT,"Rp 9,600.00","May 26, 9:50:43 AM GMT+7 · IDR · IDX · Disclaimer",https://www.google.com/finance/quote/BBCA:IDX?hl=en,5/26/2025 3:01
Bank Mandiri (Persero) Tbk PT,"Rp 5,375.00","May 26, 9:50:43 AM GMT+7 · IDR · IDX · Disclaimer",https://www.google.com/finance/quote/BMRI:IDX?hl=en,5/26/2025 3:01
Bank Negara Indonesia (Persero) Tbk PT,"Rp 4,480.00","May 26, 9:50:50 AM GMT+7 · IDR · IDX · Disclaimer",https://www.google.com/finance/quote/BBNI:IDX?hl=en,5/26/2025 3:01
Bank Rakyat Indonesia (Persero) Tbk PT,"Rp 4,290.00","May 26, 9:50:56 AM GMT+7 · IDR · IDX · Disclaimer",https://www.google.com/finance/quote/BBRI:IDX?hl=en,5/26/2025 3:01
